City,Country,Latitude,Longitude,Humidity,Wind Speed,Cloudiness,Temperature,Date
Pinega,RU,64.7001,43.3936,44,8.57,100,71.65,1655303927
Saldanha,ZA,-33.0117,17.9442,54,3.94,3,62.65,1655303927
Jamestown,US,42.097,-79.2353,83,5.99,36,80.19,1655303665
Garoowe,SO,8.4054,48.4845,26,20.87,14,91.09,1655303929
Juneau,US,58.3019,-134.4197,93,0.0,75,47.21,1655303716
Hay River,CA,60.8156,-115.7999,59,5.75,75,60.78,1655303931
Cockburn Town,TC,21.4612,-71.1419,76,15.97,2,81.28,1655303931
Ushuaia,AR,-54.8,-68.3,75,5.75,75,40.66,1655303932
Guerrero Negro,MX,27.9769,-114.0611,74,8.88,0,65.39,1655303933
Puerto Escondido,MX,15.85,-97.0667,69,8.05,100,77.83,1655303934
Grand Gaube,MU,-20.0064,57.6608,72,4.0,10,71.38,1655303935
Cidreira,BR,-30.1811,-50.2056,68,1.54,12,63.95,1655303935
Danville,US,36.586,-79.395,69,0.0,100,84.87,1655303839
Batemans Bay,AU,-35.7167,150.1833,65,5.3,48,51.1,1655303937
Harrisburg,US,40.2737,-76.8844,57,5.01,0,83.1,1655303900
Borogontsy,RU,62.6683,131.1683,94,4.05,100,52.75,1655303939
Yellowknife,CA,62.456,-114.3525,55,3.44,75,64.92,1655303641
Kudahuvadhoo,MV,2.6708,72.8944,70,10.09,89,84.27,1655303941
Dunedin,NZ,-45.8742,170.5036,69,1.99,27,44.8,1655303941
Pachperwa,IN,27.5167,82.65,19,6.6,5,101.91,1655303942
Port Hardy,CA,50.6996,-127.4199,87,2.3,75,50.18,1655303943
Kruisfontein,ZA,-34.0033,24.7314,65,18.25,61,47.88,1655303944
Tambaú,BR,-21.705,-47.2744,34,3.42,73,65.07,1655303945
Atuona,PF,-9.8,-139.0333,68,20.71,86,78.01,1655303946
Pevek,RU,69.7008,170.3133,80,5.41,4,29.95,1655303947
Mehamn,NO,71.0357,27.8492,92,11.81,100,44.51,1655303947
Coyhaique,CL,-45.5752,-72.0662,87,6.91,40,39.15,1655303822
Arraial do Cabo,BR,-22.9661,-42.0278,46,4.61,20,73.26,1655303949
Punta Arenas,CL,-53.15,-70.9167,75,19.57,40,42.91,1655303812
Fukuechō,JP,32.6881,128.8419,89,12.28,100,71.51,1655303950
Puerto Madero,MX,14.7208,-92.4215,100,3.44,100,77.2,1655303951
Rikitea,PF,-23.1203,-134.9692,70,7.54,91,72.59,1655303952
Ukiah,US,39.1502,-123.2078,76,0.0,0,69.04,1655303953
Esperance,AU,-33.8667,121.9,59,10.22,1,56.19,1655303953
Ilulissat,GL,69.2167,-51.1,75,9.22,20,35.62,1655303954
Sisimiut,GL,66.9395,-53.6735,56,10.51,13,39.16,1655303955
Saint Paul Harbor,US,57.79,-152.4072,87,8.05,100,51.31,1655303956
Lata,PT,40.1629,-8.3327,44,9.4,89,79.07,1655303956
Sorong,ID,-0.8833,131.25,81,5.86,100,80.4,1655303957
Hilo,US,19.7297,-155.09,60,4.61,40,72.28,1655303914
Bredasdorp,ZA,-34.5322,20.0403,63,4.97,11,53.58,1655303753
Hermanus,ZA,-34.4187,19.2345,59,2.1,15,57.79,1655303959
Waingapu,ID,-9.6567,120.2641,86,9.42,15,77.67,1655303960
Qaqortoq,GL,60.7167,-46.0333,69,11.07,7,42.69,1655303961
George Town,MY,5.4112,100.3354,86,6.91,40,82.33,1655303149
Ariquemes,BR,-9.9133,-63.0408,53,2.06,33,85.33,1655303963
Ribeira Grande,PT,38.5167,-28.7,78,6.91,40,70.2,1655303963
Homer,US,59.6425,-151.5483,91,1.99,0,47.8,1655303964
Port Alfred,ZA,-33.5906,26.891,75,8.01,85,51.19,1655303965
Hope,US,33.6671,-93.5916,70,9.55,18,82.98,1655303966
Mahon,ES,39.8885,4.2658,35,9.22,0,88.36,1655303967
New Norfolk,AU,-42.7826,147.0587,89,1.81,100,45.91,1655303968
Barrow,US,71.2906,-156.7887,93,9.22,100,33.82,1655303968
Nālūt,LY,30.3333,10.85,12,11.83,0,93.76,1655303969
Marsh Harbour,BS,26.5412,-77.0636,71,3.94,100,81.14,1655303729
Cabo San Lucas,MX,22.8909,-109.9124,52,1.01,2,85.05,1655303819
Puerto Ayora,EC,-0.7393,-90.3518,92,5.99,93,75.16,1655303971
Clyde River,CA,70.4692,-68.5914,100,4.61,100,37.63,1655303972
Kapaa,US,22.0752,-159.319,97,9.22,100,75.18,1655303973
Ulaangom,MN,49.9811,92.0667,62,8.5,77,65.21,1655303974
Saquarema,BR,-22.92,-42.5103,57,7.49,41,73.44,1655303975
Tasiilaq,GL,65.6145,-37.6368,98,9.51,100,41.16,1655303976
Ostrovnoy,RU,68.0531,39.5131,60,15.01,100,55.83,1655303976
Cape Town,ZA,-33.9258,18.4232,61,5.75,40,60.12,1655303883
Saint-Philippe,RE,-21.3585,55.7679,86,14.67,37,72.99,1655303978
Provideniya,RU,64.3833,-173.3,94,6.29,89,36.34,1655303979
Chokurdakh,RU,70.6333,147.9167,36,8.21,100,60.04,1655303980
Natá,PA,8.3333,-80.5167,77,7.9,99,76.87,1655303980
Aras,ES,42.5617,-2.356,12,4.61,0,100.81,1655303981
Cherskiy,RU,68.75,161.3,47,6.58,0,51.03,1655303982
Naze,JP,28.3667,129.4833,97,6.73,100,74.32,1655303983
Kavieng,PG,-2.5744,150.7967,78,10.13,85,81.72,1655303984
Benghazi,LY,32.1167,20.0667,64,15.99,0,78.57,1655303984
Anjozorobe,MG,-18.4,47.8667,93,4.32,26,57.45,1655303985
Taiping,MY,4.85,100.7333,89,3.91,100,77.22,1655303986
Kahului,US,20.8947,-156.47,78,12.66,20,75.85,1655303987
São Lourenço do Sul,BR,-31.3653,-51.9783,60,1.74,0,62.4,1655303987
East London,ZA,-33.0153,27.9116,47,27.63,0,58.14,1655303988
Nuevo Progreso,MX,23.1667,-97.95,70,7.83,100,82.11,1655303989
Mahébourg,MU,-20.4081,57.7,94,13.8,75,71.26,1655303990
Mataura,NZ,-46.1927,168.8643,92,7.23,87,44.47,1655303991
Hobart,AU,-42.8794,147.3294,95,4.61,100,46.26,1655303991
Luqiao,CN,28.5808,121.3772,97,3.83,100,70.83,1655303992
Salalah,OM,17.0151,54.0924,77,8.1,44,83.21,1655303993
Mar del Plata,AR,-38.0023,-57.5575,70,4.61,87,55.94,1655303994
Aykhal,RU,66.0,111.5,69,4.79,40,59.27,1655303995
San Patricio,US,28.017,-97.5169,53,18.07,100,85.89,1655303996
Kieta,PG,-6.2167,155.6333,83,3.18,79,77.67,1655303996
Jutaí,BR,-5.1833,-68.9,59,0.56,75,84.24,1655303997
Tuatapere,NZ,-46.1333,167.6833,89,8.3,71,44.51,1655303998
Norman Wells,CA,65.282,-126.8329,93,8.05,100,46.44,1655303856
Mandalgovi,MN,45.7625,106.2708,45,13.22,100,70.43,1655303999
Boryslav,UA,49.2867,23.4324,56,5.99,94,63.3,1655304000
Palu,ID,-0.8917,119.8707,95,3.11,91,75.52,1655304001
Haines Junction,CA,60.7522,-137.5108,76,2.3,99,46.35,1655304002
Severo-Kuril'sk,RU,50.6789,156.125,89,7.27,98,47.07,1655304003
Arman',RU,59.7,150.1667,94,1.92,100,46.02,1655304004
Vaini,TO,-21.2,-175.2,88,5.75,75,71.76,1655304004
